base_event,edge_on,edge_off,duration
chr2_300,244.719236271,244.81923602,0.09999974900000552
chr2_500,247.719268719,247.819268467,0.09999974799998768
chr2_700,250.719301166,250.819300914,0.09999974799998768
chr2_1000,253.719293613,253.819293361,0.0999997480000161
chrimson_100,256.71932606,256.819325808,0.09999974799995925
chrimson_300,259.719358507,259.819358256,0.09999974900000552
chrimson_500,262.719350955,262.819350703,0.0999997480000161
chrimson_700,265.719383402,265.81938315,0.0999997480000161
chrimson_1000,268.719415849,268.819415597,0.0999997480000161
chr2_100,271.719408296,271.819408045,0.09999974900000552
chr2_300,274.719440743,274.819440492,0.09999974900000552
chr2_500,277.719473191,277.819472939,0.09999974799995925
chr2_700,280.719465638,280.819465386,0.0999997480000161
chr2_1000,283.719498085,283.819497833,0.0999997480000161
chrimson_100,286.719530532,286.819530281,0.09999974900000552
chrimson_300,289.719562979,289.819562728,0.09999974900000552
chrimson_500,292.719555427,292.819555175,0.0999997480000161
chrimson_700,295.719587874,295.819587622,0.09999974799995925
chrimson_1000,298.719620321,298.819620069,0.0999997480000161
chr2_100,301.719612768,301.819612517,0.09999974900000552
chr2_300,304.719645215,304.819644964,0.09999974900000552
chr2_500,307.719677663,307.819677411,0.09999974799995925
chr2_700,310.71967011,310.819669858,0.0999997480000161
chr2_1000,313.719702557,313.819702305,0.0999997480000161
chrimson_100,316.719735004,316.819734753,0.09999974900000552
chrimson_300,319.719767451,319.8197672,0.09999974900000552
chrimson_500,322.719759899,322.819759647,0.0999997480000161
chrimson_700,325.719792346,325.819792094,0.09999974799995925
chrimson_1000,328.719824793,328.819824541,0.0999997480000161
chr2_100,331.71981724,331.819816989,0.09999974900000552
chr2_300,334.719849687,334.819849436,0.09999974900000552
chr2_500,337.719882135,337.819881883,0.0999997480000161
chr2_700,340.719874582,340.81987433,0.0999997480000161
chr2_1000,343.719907029,343.819906777,0.0999997480000161
chrimson_100,346.719939476,346.819939225,0.09999974900000552
chrimson_300,349.719971923,349.819971672,0.09999974900000552
chrimson_500,352.719964371,352.819964119,0.0999997480000161
chrimson_700,355.719996818,355.819996566,0.09999974799995925
chrimson_1000,358.720029265,358.820029013,0.0999997480000161
chr2_100,361.720021712,361.820021461,0.09999974900000552
chr2_300,364.72005416,364.820053908,0.09999974799995925
chr2_500,367.720086607,367.820086355,0.0999997480000161
chr2_700,370.720079054,370.820078802,0.0999997480000161
chr2_1000,373.720111501,373.820111249,0.09999974799995925
chrimson_100,376.720143948,376.820143697,0.09999974900000552
chrimson_300,379.720176395,379.820176144,0.09999974900000552
chrimson_500,382.720168843,382.820168591,0.0999997480000161
chrimson_700,385.72020129,385.820201038,0.0999997480000161
chrimson_1000,388.720233737,388.820233485,0.0999997480000161
chr2_100,391.720226184,391.820225933,0.09999974900000552
chr2_300,394.720258632,394.82025838,0.09999974799995925
chr2_500,397.720291079,397.820290827,0.0999997480000161
chr2_700,400.720283526,400.820283274,0.0999997480000161
chr2_1000,403.720315973,403.820315721,0.09999974799995925
chrimson_100,406.72034842,406.820348169,0.09999974900000552
chrimson_300,409.720380867,409.820340616,0.09995974899999283
chrimson_500,412.720373315,412.820373063,0.09999974799995925
chrimson_700,415.720405762,415.82040551,0.0999997480000161
chrimson_1000,418.720438209,418.820437957,0.0999997480000161
chr2_100,421.720430656,421.820430405,0.09999974900000552
chr2_300,424.720463104,424.820462852,0.0999997480000161
chr2_500,427.720495551,427.820495299,0.0999997480000161
chr2_700,430.720487998,430.820487746,0.0999997480000161
chr2_1000,433.720520445,433.820520193,0.0999997480000161
chrimson_100,436.720552892,436.820552641,0.09999974900000552
chrimson_300,439.72054534,439.820545088,0.0999997480000161
chrimson_500,442.720577787,442.820577535,0.09999974799995925
chrimson_700,445.720610234,445.820609982,0.0999997480000161
chrimson_1000,448.720602681,448.820642429,0.10003974799997195
chr2_100,451.720635128,451.820634877,0.09999974899994868
chr2_300,454.720667576,454.820667324,0.0999997480000161
chr2_500,457.720700023,457.820699771,0.0999997480000161
chr2_700,460.72069247,460.820692218,0.09999974799995925
chr2_1000,463.720724917,463.820724665,0.0999997480000161
chrimson_100,466.720757364,466.820757113,0.09999974900000552
chrimson_300,469.720749812,469.82074956,0.0999997480000161
chrimson_500,472.720782259,472.820782007,0.0999997480000161
chrimson_700,475.720814706,475.820814454,0.0999997480000161
chrimson_1000,478.720807153,478.820846901,0.10003974799997195
chr2_100,481.7208396,481.820839349,0.09999974900000552
chr2_300,484.720872048,484.820871796,0.0999997480000161
chr2_500,487.720864495,487.820904243,0.10003974799997195
chr2_700,490.720896942,490.82089669,0.09999974799995925
chr2_1000,493.720929389,493.820929137,0.0999997480000161
start_tone,666.555854263,666.656014011,0.10015974800001004
start_cues,666.555854263,NA,NA
timeout_cues,666.555854263,NA,NA
outcome_tones,673.55975663,NA,NA
timeout_tone,673.55975663,675.563591585,2.003834955000002
timeout_tones,673.55975663,NA,NA
ITI,677.25975663,685.828121967,8.568365337000046
lick,677.846145839,677.912785671,0.06663983200007806
lick_bout,677.846145839,678.012665419,0.16651957999999922
lick,678.012665419,678.079665251,0.06699983200007864
lick,682.446654257,682.513094089,0.06643983200001458
lick_bout,682.446654257,682.446654257,0.0
lick,684.379929389,684.446649221,0.06671983199998976
lick_bout,684.379929389,684.746688466,0.36675907699998334
lick,684.579968886,684.613528801,0.03355991500006894
lick,684.746688466,684.847088213,0.10039974699998311
lick_bout,685.113447543,685.113447543,0.0
lick,685.113447543,685.180367374,0.06691983099995014
early_cues,687.328121967,NA,NA
start_cues,687.328121967,NA,NA
start_tone,687.328121967,687.428281715,0.10015974800001004
lick_bout,689.780915792,689.780915792,0.0
early_first_licks,689.780915792,NA,NA
lick,689.780915792,689.847355625,0.066439833000004
error_tone,689.782195789,689.983355282,0.20115949300009106
outcome_tones,689.782195789,NA,NA
early_tones,689.782195789,NA,NA
lick_bout,692.647788574,692.647788574,0.0
lick,692.647788574,692.714588406,0.06679983200001516
ITI,693.482195789,708.772424203,15.290228414000012
lick,696.548778753,696.614978587,0.06619983400003093
lick_bout,696.548778753,696.548778753,0.0
lick,699.515491284,699.582131117,0.06663983300006748
lick_bout,699.515491284,699.515491284,0.0
lick_bout,702.94924264,702.94924264,0.0
lick,702.94924264,702.982602556,0.03335991599999488
lick,707.451151306,707.483871223,0.032719917000008536
lick_bout,707.451151306,707.616990888,0.1658395819999896
lick,707.616990888,707.683470721,0.0664798330000167
lick_bout,709.550186021,709.550186021,0.0
lick,709.550186021,709.617465852,0.0672798310000644
early_cues,710.272424203,NA,NA
start_tone,710.272424203,710.372583951,0.10015974800001004
start_cues,710.272424203,NA,NA
early_first_licks,712.217339306,NA,NA
lick,712.217339306,712.251019222,0.03367991599998277
lick_bout,712.217339306,712.217339306,0.0
outcome_tones,712.218579303,NA,NA
early_tones,712.218579303,NA,NA
error_tone,712.218579303,712.419738797,0.20115949400008049
ITI,715.918579303,730.433689669,14.515110366000044
lick_bout,729.088576832,729.088576832,0.0
lick,729.088576832,729.186336586,0.09775975400009429
lick_bout,729.65321541,729.65321541,0.0
lick,729.65321541,729.719855242,0.06663983199996437
start_tone,731.933689669,732.033849417,0.10015974800001004
rewarded_cues,731.933689669,NA,NA
start_cues,731.933689669,NA,NA
rewarded_first_licks,738.921232077,NA,NA
lick_bout,738.921232077,738.921232077,0.0
lick,738.921232077,738.987831909,0.06659983199995168
solenoid,738.921352077,738.933672046,0.012319968999918274
reward_tone,738.921472077,739.121551573,0.2000794960000576
reward_tones,738.921472077,NA,NA
outcome_tones,738.921472077,NA,NA
lick_bout,739.222591318,739.48823065,0.2656393319999779
lick,739.222591318,739.254511238,0.03191991999995025
lick,739.354950985,739.387870902,0.03291991700007202
lick,739.48823065,739.554710482,0.06647983200002727
lick,739.821229811,739.888709641,0.06747983000002478
lick_bout,739.821229811,740.155148971,0.3339191600000504
lick,739.988029391,740.08798914,0.09995974899993598
lick,740.155148971,740.221748803,0.06659983199995168
lick_bout,741.121426538,741.121426538,0.0
lick,741.121426538,741.154746454,0.033319915999982186
lick,741.454865699,741.521545531,0.06667983199997707
lick_bout,741.454865699,741.454865699,0.0
ITI,742.621472077,749.404961907,6.783489830000008
lick_bout,746.122173948,746.122173948,0.0
lick,746.122173948,746.18889378,0.06671983199998976
early_cues,750.904961907,NA,NA
start_cues,750.904961907,NA,NA
start_tone,750.904961907,751.005081655,0.10011974799999734
lick_bout,753.190396153,753.423515566,0.23311941299994032
early_first_licks,753.190396153,NA,NA
lick,753.190396153,753.256515987,0.06611983399989185
early_tones,753.19167615,NA,NA
outcome_tones,753.19167615,NA,NA
error_tone,753.19167615,753.392835644,0.2011594939999668
lick,753.423515566,753.456875482,0.03335991599999488
lick,756.523667762,756.590747593,0.06707983100000092
lick_bout,756.523667762,756.69126734,0.16759957800002212
lick,756.69126734,756.757867172,0.06659983200006536
ITI,756.89167615,772.129224697,15.237548547000074
lick,762.72449215,762.757852066,0.03335991600010857
lick_bout,762.72449215,762.72449215,0.0
lick_bout,766.158363505,766.158363505,0.0
lick,766.158363505,766.225403337,0.06703983199997765
lick_bout,766.592082413,766.592082413,0.0
lick,766.592082413,766.658442246,0.0663598330000923
lick_bout,772.759266887,772.926386466,0.16711957900008656
lick,772.759266887,772.825986719,0.06671983199998976
lick,772.926386466,772.992786299,0.0663998329999913
start_cues,773.629224697,NA,NA
rewarded_cues,773.629224697,NA,NA
start_tone,773.629224697,773.729384445,0.10015974800001004
lick_bout,779.960408758,779.960408758,0.0
rewarded_first_licks,779.960408758,NA,NA
lick,779.960408758,780.02700859,0.06659983200006536
solenoid,779.960528757,779.990168683,0.029639925999958905
reward_tones,779.960648757,NA,NA
reward_tone,779.960648757,780.160728253,0.2000794960000576
outcome_tones,779.960648757,NA,NA
lick_bout,780.394167666,781.961003721,1.5668360549999534
lick,780.394167666,780.427647581,0.03347991499992986
lick,780.527127331,780.560447247,0.033319915999982186
lick,780.660446995,780.727566826,0.06711983100001362
lick,780.794166659,780.860566491,0.06639983200000188
lick,780.927206324,780.993766156,0.06655983199993898
lick,781.060565988,781.12712582,0.06655983199993898
lick,781.360565233,781.394925146,0.03435991300000296
lick,781.627204561,781.694724391,0.06751983000003747
lick,781.793884142,781.860603974,0.06671983199998976
lick,781.961003721,781.994283637,0.03327991599996949
lick,782.394082631,782.427922545,0.033839914000054705
lick_bout,782.394082631,782.394082631,0.0
lick,783.027881035,783.094520867,0.06663983200007806
lick_bout,783.027881035,783.027881035,0.0
lick_bout,783.460879945,783.460879945,0.0
lick,783.460879945,783.527559777,0.06667983199997707
ITI,783.660648757,793.731530311,10.070881554000039
lick,784.027718518,784.060918434,0.033199915999944096
lick_bout,784.027718518,784.027718518,0.0
lick_bout,788.494907271,788.494907271,0.0
lick,788.494907271,788.562147102,0.06723983100005171
lick,790.295422738,790.361822571,0.0663998329999913
lick_bout,790.295422738,790.295422738,0.0
lick,792.929536107,792.962576024,0.03303991699999642
lick_bout,792.929536107,792.929536107,0.0
lick_bout,793.262655268,793.262655268,0.0
lick,793.262655268,793.3292951,0.06663983199996437
start_cues,795.231530311,NA,NA
early_cues,795.231530311,NA,NA
start_tone,795.231530311,795.331690059,0.10015974800001004
lick,795.79592889,795.863248721,0.06731983099996341
lick_bout,795.79592889,795.79592889,0.0
early_first_licks,795.79592889,NA,NA
early_tones,795.797208887,NA,NA
outcome_tones,795.797208887,NA,NA
error_tone,795.797208887,795.998328381,0.2011194939999541
lick_bout,797.096525616,797.296245113,0.19971949700004643
lick,797.096525616,797.129485533,0.03295991699997103
lick,797.296245113,797.396244861,0.09999974799995925
ITI,799.497208887,816.280793542,16.783584654999913
lick_bout,801.430234706,801.630154202,0.1999194960000068
lick,801.430234706,801.497074537,0.06683983100003843
lick,801.630154202,801.696754035,0.06659983300005479
lick_bout,803.097190509,803.297110006,0.19991949699999623
lick,803.097190509,803.130310425,0.0331199159999187
lick,803.297110006,803.330429922,0.033319915999982186
lick,807.564339262,807.630979095,0.06663983300006748
lick_bout,807.564339262,807.764618758,0.20027949600000738
lick,807.764618758,807.831138591,0.0665198330000294
lick_bout,810.398052128,810.398052128,0.0
lick,810.398052128,810.431412044,0.03335991599999488
lick,811.832048518,811.865208435,0.03315991700003451
lick_bout,811.832048518,811.832048518,0.0
lick_bout,813.09840533,814.465441888,1.3670365579999952
lick,813.09840533,813.198445078,0.10003974799997195
lick,813.298884825,813.365124658,0.0662398330000542
lick,813.465164407,813.565204155,0.10003974799997195
lick,813.731883735,813.832323482,0.1004397469999958
lick,813.931923232,814.065282896,0.13335966399995414
lick,814.098522812,814.165322644,0.06679983199990147
lick,814.19860256,814.332362223,0.133759662999978
lick,814.465441888,814.598681553,0.13323966500001916
lick,815.899318278,815.965518112,0.06619983400003093
lick_bout,815.899318278,816.198957524,0.2996392459999697
lick,816.198957524,816.265597356,0.06663983199996437
start_tone,817.780793542,817.88095329,0.10015974800001004
start_cues,817.780793542,NA,NA
early_cues,817.780793542,NA,NA
early_first_licks,819.899868207,NA,NA
lick,819.899868207,819.932828124,0.03295991699997103
lick_bout,819.899868207,820.199787452,0.2999192449999555
error_tone,819.901148204,820.102307697,0.20115949299997737
outcome_tones,819.901148204,NA,NA
early_tones,819.901148204,NA,NA
lick,820.199787452,820.232747369,0.03295991699997103
ITI,823.601148204,835.580064954,11.978916750000053
lick,823.700338639,823.767018471,0.06667983199997707
lick_bout,823.700338639,823.700338639,0.0
lick,828.067287645,828.10076756,0.03347991500004355
lick_bout,828.067287645,830.034242693,1.9669550480000453
lick,828.200647309,828.26760714,0.06695983099996283
lick,828.367286889,828.434046721,0.06675983200000246
lick,828.534166469,828.600726302,0.06655983300004209
lick,828.667766133,828.70068605,0.03291991699995833
lick,828.801045797,828.867805629,0.06675983200000246
lick,828.934045462,829.000805294,0.06675983200000246
lick,829.100765043,829.134604958,0.03383991499993044
lick,829.234484706,829.301084538,0.06659983200006536
lick,829.434484203,829.467684119,0.033199915999944096
lick,829.567443868,829.634443699,0.06699983099997553
lick,829.734843446,829.767643364,0.032799918000023354
lick,830.034242693,830.100842525,0.06659983199995168
lick_bout,830.501001518,830.501001518,0.0
lick,830.501001518,830.568121349,0.06711983100001362
lick_bout,831.067680091,831.067680091,0.0
lick,831.067680091,831.134439923,0.06675983199988877
lick,833.968552788,834.001472705,0.03291991699995833
lick_bout,833.968552788,833.968552788,0.0
start_tone,837.080064954,837.180224702,0.10015974800001004
start_cues,837.080064954,NA,NA
rewarded_cues,837.080064954,NA,NA
rewarded_first_licks,842.002612561,NA,NA
lick,842.002612561,842.069292393,0.06667983199997707
lick_bout,842.002612561,843.670328363,1.6677158019999752
solenoid,842.002732561,842.031972487,0.029239925999945626
reward_tone,842.002812561,842.202932057,0.2001194959999566
outcome_tones,842.002812561,NA,NA
reward_tones,842.002812561,NA,NA
lick,842.102892309,842.135932226,0.03303991699999642
lick,842.236411973,842.26941189,0.032999916999983725
lick,842.336371721,842.369331638,0.03295991699997103
lick,842.43601147,842.503091301,0.06707983100000092
lick,842.569291135,842.603091049,0.03379991400004201
lick,842.703090798,842.769370631,0.0662798330000669
lick,842.836450462,842.902730295,0.06627983299995321
lick,842.969290128,843.036089959,0.06679983100002573
lick,843.136169707,843.20280954,0.0666398329999538
lick,843.269489372,843.336489203,0.06699983100008922
lick,843.436128952,843.469688868,0.033559916000058365
lick,843.670328363,843.736728195,0.06639983200000188
ITI,845.702812561,857.078330831,11.375518270000043
lick,848.67215577,848.736915607,0.06475983699999688
lick_bout,848.67215577,848.837275354,0.1651195839999673
lick,848.837275354,848.903635187,0.06635983299997861
lick_bout,849.403953928,849.403953928,0.0
lick,849.403953928,849.470353761,0.0663998329999913
lick_bout,852.137787045,852.404106375,0.26631932999998753
lick,852.137787045,852.204066878,0.0662798330000669
lick,852.404106375,852.471106206,0.06699983099997553
lick_bout,858.03845219,858.171571855,0.13311966499998107
lick,858.03845219,858.071572106,0.0331199159999187
lick,858.171571855,858.238291687,0.06671983199998976
early_cues,858.578330831,NA,NA
start_cues,858.578330831,NA,NA
start_tone,858.578330831,858.678490578,0.10015974700002062
lick_bout,861.772602789,861.905442454,0.13283966500000588
lick,861.772602789,861.805802705,0.03319991600005778
early_first_licks,861.772602789,NA,NA
outcome_tones,861.773882785,NA,NA
error_tone,861.773882785,861.975002279,0.2011194940000678
early_tones,861.773882785,NA,NA
lick,861.905442454,861.972562285,0.06711983100001362
ITI,865.473882785,875.602564194,10.128681409000023
lick_bout,867.472868438,867.672947934,0.2000794960000576
lick,867.472868438,867.540028269,0.06715983100002632
lick,867.672947934,867.740427764,0.06747982999991109
lick_bout,870.840499959,871.006779541,0.16627958200001558
lick,870.840499959,870.873499876,0.032999916999983725
lick,871.006779541,871.073379373,0.06659983199995168
start_cues,877.102564194,NA,NA
early_cues,877.102564194,NA,NA
start_tone,877.102564194,877.202723942,0.10015974800001004
lick_bout,877.641642837,877.641642837,0.0
lick,877.641642837,877.674442754,0.03279991700003393
early_first_licks,877.641642837,NA,NA
early_tones,877.642922834,NA,NA
outcome_tones,877.642922834,NA,NA
error_tone,877.642922834,877.844082327,0.20115949299997737
lick,880.708595116,880.741555033,0.032959917000084715
lick_bout,880.708595116,881.00863436,0.30003924400000415
lick,880.84179478,880.908274613,0.0664798330000167
lick,881.00863436,881.074914194,0.06627983400005633
ITI,881.342922834,895.859833195,14.516910360999987
lick,884.475305633,884.542025465,0.06671983200010345
lick_bout,884.475305633,884.675385129,0.2000794960000576
lick,884.675385129,884.74246496,0.06707983100000092
lick_bout,886.842339674,887.110059,0.26771932600001946
lick,886.842339674,886.909459505,0.06711983100001362
lick,887.110059,887.175818834,0.06575983400000496
lick_bout,890.376410776,890.543210356,0.1667995800000881
lick,890.376410776,890.409570693,0.03315991700003451
lick,890.543210356,890.609570189,0.06635983299997861
lick_bout,891.543047839,891.710287418,0.16723957900001096
lick,891.543047839,891.609727671,0.06667983199997707
lick,891.710287418,891.809807168,0.09951975000001312
lick,892.043446579,892.109686413,0.06623983399992994
lick_bout,892.043446579,892.043446579,0.0
lick_bout,896.677514913,896.843754494,0.16623958100001346
lick,896.677514913,896.744114745,0.06659983200006536
lick,896.843754494,896.943794242,0.10003974799997195
start_cues,897.359833195,NA,NA
start_tone,897.359833195,897.459992943,0.10015974800001004
rewarded_cues,897.359833195,NA,NA
rewarded_first_licks,904.145336112,NA,NA
lick_bout,904.145336112,904.145336112,0.0
lick,904.145336112,904.211575945,0.0662398330000542
solenoid,904.145456112,904.174776038,0.02931992599997102
reward_tone,904.145576111,904.345695607,0.20011949600007028
outcome_tones,904.145576111,NA,NA
reward_tones,904.145576111,NA,NA
lick,904.578575021,904.611574938,0.032999916999983725
lick_bout,904.578575021,906.27901074,1.7004357189999837
lick,904.711654686,904.745414601,0.033759915000018736
lick,904.844934351,904.878374266,0.03343991500003085
lick,904.978694014,905.045013847,0.06631983299996591
lick,905.112013678,905.211733427,0.09971974899997349
lick,905.278733258,905.344973092,0.06623983400004363
lick,905.445372839,905.478372756,0.032999916999983725
lick,905.711692168,905.778332001,0.0666398329999538
lick,905.845651831,905.911811665,0.06615983399990455
lick,906.012251412,906.078491245,0.0662398330000542
lick,906.27901074,906.378610489,0.09959974900004909
lick_bout,906.611929902,906.611929902,0.0
lick,906.611929902,906.71188965,0.09995974799994656
ITI,907.845576111,915.349064129,7.5034880179999845
lick_bout,908.812604362,909.178923439,0.36631907699995736
lick,908.812604362,908.845644278,0.033039916000007
lick,908.945524027,909.012283859,0.06675983200000246
lick,909.178923439,909.279363186,0.1004397469999958
lick,911.312558068,911.412597816,0.10003974799997195
lick_bout,911.312558068,911.312558068,0.0
early_cues,916.849064129,NA,NA
start_cues,916.849064129,NA,NA
start_tone,916.849064129,916.949223877,0.10015974800001004
lick,917.213343212,917.246703128,0.03335991599999488
lick_bout,917.213343212,917.380502791,0.16715957899998557
early_first_licks,917.213343212,NA,NA
error_tone,917.214623209,917.415782702,0.20115949299997737
early_tones,917.214623209,NA,NA
outcome_tones,917.214623209,NA,NA
lick,917.380502791,917.446822624,0.06631983299996591
lick_bout,919.414017672,919.614137168,0.2001194959999566
lick,919.414017672,919.480337505,0.06631983299996591
lick,919.614137168,919.647137085,0.03299991700009741
ITI,920.914623209,935.569333223,14.654710013999988
lick,923.347687768,923.414247601,0.06655983300004209
lick_bout,923.347687768,923.481007433,0.13331966499993086
lick,923.481007433,923.58140718,0.1003997470000968
lick_bout,924.01440609,924.214805585,0.20039949500005605
lick,924.01440609,924.047726006,0.033319915999982186
lick,924.214805585,924.280965419,0.06615983400001824
lick,930.015230982,930.048990897,0.03375991499990505
lick_bout,930.015230982,930.182350561,0.16711957899997287
lick,930.182350561,930.248630395,0.06627983399994264
lick_bout,931.21586796,931.21586796,0.0
lick,931.21586796,931.315867708,0.09999974800007294
start_cues,937.069333223,NA,NA
start_tone,937.069333223,937.169492971,0.10015974800001004
early_cues,937.069333223,NA,NA
lick,939.149927985,939.183207901,0.03327991599996949
early_first_licks,939.149927985,NA,NA
lick_bout,939.149927985,939.283607648,0.13367966300006628
early_tones,939.151207982,NA,NA
outcome_tones,939.151207982,NA,NA
error_tone,939.151207982,939.352367475,0.20115949300009106
lick,939.283607648,939.350127481,0.0665198329999157
lick_bout,939.78340639,939.78340639,0.0
lick,939.78340639,939.817086305,0.03367991499999334
lick,942.41707976,942.483719592,0.06663983200007806
lick_bout,942.41707976,942.783718836,0.3666390760000695
lick,942.584119339,942.650999171,0.06687983199992686
lick,942.783718836,942.883798585,0.10007974899997407
ITI,942.851207982,955.357603404,12.506395421999969
lick,945.617511702,945.684631533,0.06711983100001362
lick_bout,945.617511702,945.817831198,0.20031949600002008
lick,945.817831198,945.88459103,0.06675983200000246
lick_bout,949.784781211,949.95186079,0.16707957899996018
lick,949.784781211,949.851861042,0.06707983100000092
lick,949.95186079,950.018780622,0.06691983200005325
lick_bout,953.451931978,953.651971475,0.20003949700003432
lick,953.451931978,953.51869181,0.06675983200000246
lick,953.651971475,953.720531302,0.06855982700005825
lick_bout,955.852285935,956.219045012,0.36675907699998334
lick,955.852285935,955.885645851,0.03335991599999488
lick,956.019525514,956.085645348,0.06611983400000554
lick,956.219045012,956.31916476,0.10011974799999734
start_cues,956.857603404,NA,NA
start_tone,956.857603404,956.957763152,0.10015974800001004
rewarded_cues,956.857603404,NA,NA
rewarded_first_licks,961.619791415,NA,NA
lick,961.619791415,961.653111331,0.033319915999982186
lick_bout,961.619791415,961.786870994,0.16707957899996018
solenoid,961.619911415,961.64951134,0.029599924999956784
reward_tone,961.620031415,961.820150911,0.20011949600007028
reward_tones,961.620031415,NA,NA
outcome_tones,961.620031415,NA,NA
lick,961.786870994,961.853150828,0.06627983400005633
lick,962.119910156,962.153230072,0.03331991600009587
lick_bout,962.119910156,964.220144869,2.100234713000077
lick,962.221069901,962.286909736,0.06583983500001978
lick,962.353589568,962.419909401,0.0663198330000796
lick,962.487469231,962.519949149,0.03247991800003547
lick,962.619948897,962.687028728,0.06707983100000092
lick,962.786668477,962.819948394,0.033279916999958914
lick,962.920388141,962.986747974,0.06635983299997861
lick,963.08754772,963.153307554,0.06575983400000496
lick,963.220067386,963.286707219,0.06663983300006748
lick,963.520026631,963.586986463,0.06695983200006594
lick,963.686746211,963.753466043,0.06671983199998976
lick,963.887065707,963.920145624,0.03307991700000912
lick,964.020185372,964.086825204,0.06663983199996437
lick,964.220144869,964.253944783,0.03379991399992832
lick,964.653543777,964.753663525,0.10011974799999734
lick_bout,964.653543777,964.653543777,0.0
ITI,965.320031415,973.673837292,8.353805877000013
